DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
179,Adelaide,SA,36973,Steve,GEORGANAS,Australian Labor Party,ALP
197,Aston,VIC,36704,Alan,TUDGE,Liberal,LP
198,Ballarat,VIC,36409,Catherine,KING,Australian Labor Party,ALP
103,Banks,NSW,37018,David,COLEMAN,Liberal,LP
180,Barker,SA,37083,Tony,PASIN,Liberal,LP
104,Barton,NSW,36820,Linda,BURNEY,Australian Labor Party,ALP
192,Bass,TAS,37134,Bridget Kathleen,ARCHER,Liberal,LP
318,Bean,ACT,36231,David,SMITH,Australian Labor Party,ALP
200,Bendigo,VIC,36424,Lisa,CHESTERS,Australian Labor Party,ALP
105,Bennelong,NSW,36827,Jerome,LAXALE,Australian Labor Party,ALP
106,Berowra,NSW,37028,Julian,LEESER,Liberal,LP
304,Blair,QLD,37216,Shayne,NEUMANN,Australian Labor Party,ALP
107,Blaxland,NSW,36823,Jason,CLARE,Australian Labor Party,ALP
310,Bonner,QLD,37472,Ross,VASTA,Liberal National Party of Queensland,LNP
182,Boothby,SA,36979,Louise,MILLER-FROST,Australian Labor Party,ALP
155,Bowman,QLD,37477,Henry,PIKE,Liberal National Party of Queensland,LNP
193,Braddon,TAS,37137,Gavin,PEARCE,Liberal,LP
108,Bradfield,NSW,37016,Paul,FLETCHER,Liberal,LP
235,Brand,WA,37186,Madeleine,KING,Australian Labor Party,ALP
156,Brisbane,QLD,37338,Stephen,BATES,The Greens,GRN
201,Bruce,VIC,36413,Julian,HILL,Australian Labor Party,ALP
317,Burt,WA,37195,Matt,KEOGH,Australian Labor Party,ALP
109,Calare,NSW,36348,Andrew,GEE,The Nationals,NP
203,Calwell,VIC,36419,Maria,VAMVAKINOU,Australian Labor Party,ALP
101,Canberra,ACT,36228,Alicia,PAYNE,Australian Labor Party,ALP
236,Canning,WA,36571,Andrew,HASTIE,Liberal,LP
157,Capricornia,QLD,37479,Michelle,LANDRY,Liberal National Party of Queensland,LNP
204,Casey,VIC,36711,Aaron,VIOLI,Liberal,LP
111,Chifley,NSW,36788,Ed,HUSIC,Australian Labor Party,ALP
205,Chisholm,VIC,36382,Carina,GARLAND,Australian Labor Party,ALP
319,Clark,TAS,33553,Andrew,WILKIE,Independent,IND
112,Cook,NSW,37025,Scott,MORRISON,Liberal,LP
320,Cooper,VIC,36384,Ged,KEARNEY,Australian Labor Party,ALP
328,Corangamite,VIC,36391,Libby,COKER,Australian Labor Party,ALP
208,Corio,VIC,36381,Richard,MARLES,Australian Labor Party,ALP
237,Cowan,WA,37205,Anne,ALY,Australian Labor Party,ALP
113,Cowper,NSW,36342,Pat,CONAGHAN,The Nationals,NP
114,Cunningham,NSW,36778,Alison,BYRNES,Australian Labor Party,ALP
238,Curtin,WA,36589,Kate,CHANEY,Independent,IND
158,Dawson,QLD,37485,Andrew,WILLCOX,Liberal National Party of Queensland,LNP
209,Deakin,VIC,36712,Michael,SUKKAR,Liberal,LP
252,Dickson,QLD,37493,Peter,DUTTON,Liberal National Party of Queensland,LNP
115,Dobell,NSW,36779,Emma,McBRIDE,Australian Labor Party,ALP
210,Dunkley,VIC,36389,Peta,MURPHY,Australian Labor Party,ALP
312,Durack,WA,36582,Melissa,PRICE,Liberal,LP
117,Eden-Monaro,NSW,36803,Kristy,McBAIN,Australian Labor Party,ALP
159,Fadden,QLD,37495,Stuart,ROBERT,Liberal National Party of Queensland,LNP
160,Fairfax,QLD,37499,Ted,O'BRIEN,Liberal National Party of Queensland,LNP
118,Farrer,NSW,37032,Sussan,LEY,Liberal,LP
102,Fenner,ACT,36234,Andrew,LEIGH,Australian Labor Party,ALP
161,Fisher,QLD,37504,Andrew,WALLACE,Liberal National Party of Queensland,LNP
211,Flinders,VIC,36714,Zoe,McKENZIE,Liberal,LP
311,Flynn,QLD,37512,Colin,BOYCE,Liberal National Party of Queensland,LNP
162,Forde,QLD,37507,Bert,VAN MANEN,Liberal National Party of Queensland,LNP
239,Forrest,WA,36584,Nola,MARINO,Liberal,LP
119,Fowler,NSW,36240,Dai,LE,Independent,IND
195,Franklin,TAS,37272,Julie,COLLINS,Australian Labor Party,ALP
321,Fraser,VIC,36385,Daniel,MULINO,Australian Labor Party,ALP
240,Fremantle,WA,37314,Josh,WILSON,Australian Labor Party,ALP
212,Gellibrand,VIC,36388,Tim,WATTS,Australian Labor Party,ALP
120,Gilmore,NSW,36776,Fiona,PHILLIPS,Australian Labor Party,ALP
213,Gippsland,VIC,36048,Darren,CHESTER,The Nationals,NP
214,Goldstein,VIC,36074,Zoe,DANIEL,Independent,IND
309,Gorton,VIC,36421,Brendan,O'CONNOR,Australian Labor Party,ALP
121,Grayndler,NSW,36782,Anthony,ALBANESE,Australian Labor Party,ALP
122,Greenway,NSW,36787,Michelle,ROWLAND,Australian Labor Party,ALP
183,Grey,SA,37069,Rowan,RAMSEY,Liberal,LP
163,Griffith,QLD,37364,Max,CHANDLER-MATHER,The Greens,GRN
164,Groom,QLD,37470,Garth,HAMILTON,Liberal National Party of Queensland,LNP
305,Hasluck,WA,37317,Tania,LAWRENCE,Australian Labor Party,ALP
326,Hawke,VIC,36426,Sam,RAE,Australian Labor Party,ALP
165,Herbert,QLD,37471,Phillip,THOMPSON,Liberal National Party of Queensland,LNP
215,Higgins,VIC,36433,Michelle,ANANDA-RAJAH,Australian Labor Party,ALP
185,Hindmarsh,SA,36984,Mark,BUTLER,Australian Labor Party,ALP
166,Hinkler,QLD,37476,Keith,PITT,Liberal National Party of Queensland,LNP
216,Holt,VIC,36438,Cassandra,FERNANDO,Australian Labor Party,ALP
217,Hotham,VIC,36428,Clare,O'NEIL,Australian Labor Party,ALP
124,Hughes,NSW,37190,Jenny,WARE,Liberal,LP
125,Hume,NSW,37034,Angus,TAYLOR,Liberal,LP
126,Hunter,NSW,36792,Dan,REPACHOLI,Australian Labor Party,ALP
218,Indi,VIC,32086,Helen,HAINES,Independent,IND
219,Isaacs,VIC,36434,Mark,DREYFUS,Australian Labor Party,ALP
220,Jagajaga,VIC,36435,Kate,THWAITES,Australian Labor Party,ALP
167,Kennedy,QLD,37304,Bob,KATTER,Katter's Australian Party (KAP),KAP
127,Kingsford Smith,NSW,36781,Matt,THISTLETHWAITE,Australian Labor Party,ALP
186,Kingston,SA,36983,Amanda,RISHWORTH,Australian Labor Party,ALP
221,Kooyong,VIC,36081,Monique,RYAN,Independent,IND
223,La Trobe,VIC,36734,Jason,WOOD,Liberal,LP
222,Lalor,VIC,36443,Joanne,RYAN,Australian Labor Party,ALP
168,Leichhardt,QLD,37480,Warren,ENTSCH,Liberal National Party of Queensland,LNP
169,Lilley,QLD,37254,Anika,WELLS,Australian Labor Party,ALP
128,Lindsay,NSW,37160,Melissa,McINTOSH,Liberal,LP
306,Lingiari,NT,37286,Marion,SCRYMGOUR,Australian Labor Party,ALP
302,Longman,QLD,37492,Terry,YOUNG,Liberal National Party of Queensland,LNP
130,Lyne,NSW,36310,David,GILLESPIE,The Nationals,NP
196,Lyons,TAS,37276,Brian,MITCHELL,Australian Labor Party,ALP
131,Macarthur,NSW,36906,Mike,FREELANDER,Australian Labor Party,ALP
132,Mackellar,NSW,37450,Sophie,SCAMPS,Independent,IND
322,Macnamara,VIC,36436,Josh,BURNS,Australian Labor Party,ALP
133,Macquarie,NSW,36819,Susan,TEMPLEMAN,Australian Labor Party,ALP
187,Makin,SA,36991,Tony,ZAPPIA,Australian Labor Party,ALP
224,Mallee,VIC,36060,Anne,WEBSTER,The Nationals,NP
170,Maranoa,QLD,37498,David,LITTLEPROUD,Liberal National Party of Queensland,LNP
225,Maribyrnong,VIC,36441,Bill,SHORTEN,Australian Labor Party,ALP
188,Mayo,SA,37710,Rebekha,SHARKIE,Centre Alliance,XEN
226,McEwen,VIC,36445,Rob,MITCHELL,Australian Labor Party,ALP
315,McMahon,NSW,36815,Chris,BOWEN,Australian Labor Party,ALP
171,McPherson,QLD,37494,Karen,ANDREWS,Liberal National Party of Queensland,LNP
228,Melbourne,VIC,36551,Adam,BANDT,The Greens,GRN
229,Menzies,VIC,36733,Keith,WOLAHAN,Liberal,LP
134,Mitchell,NSW,37174,Alex,HAWKE,Liberal,LP
323,Monash,VIC,36737,Russell,BROADBENT,Liberal,LP
172,Moncrieff,QLD,37501,Angie,BELL,Liberal National Party of Queensland,LNP
242,Moore,WA,36592,Ian,GOODENOUGH,Liberal,LP
173,Moreton,QLD,37253,Graham,PERRETT,Australian Labor Party,ALP
135,New England,NSW,36335,Barnaby,JOYCE,The Nationals,NP
136,Newcastle,NSW,36804,Sharon,CLAYDON,Australian Labor Party,ALP
324,Nicholls,VIC,36061,Sam,BIRRELL,The Nationals,NP
137,North Sydney,NSW,37452,Kylea Jane,TINK,Independent,IND
243,O'Connor,WA,36594,Rick,WILSON,Liberal,LP
174,Oxley,QLD,37259,Milton,DICK,Australian Labor Party,ALP
138,Page,NSW,36316,Kevin,HOGAN,The Nationals,NP
139,Parkes,NSW,36363,Mark,COULTON,The Nationals,NP
140,Parramatta,NSW,36800,Andrew,CHARLTON,Australian Labor Party,ALP
249,Paterson,NSW,36910,Meryl,SWANSON,Australian Labor Party,ALP
244,Pearce,WA,37326,Tracey,ROBERTS,Australian Labor Party,ALP
245,Perth,WA,37327,Patrick,GORMAN,Australian Labor Party,ALP
175,Petrie,QLD,37486,Luke,HOWARTH,Liberal National Party of Queensland,LNP
176,Rankin,QLD,37263,Jim,CHALMERS,Australian Labor Party,ALP
144,Reid,NSW,36917,Sally,SITOU,Australian Labor Party,ALP
145,Richmond,NSW,36802,Justine,ELLIOT,Australian Labor Party,ALP
250,Riverina,NSW,36324,Michael,McCORMACK,The Nationals,NP
146,Robertson,NSW,36801,Gordon,REID,Australian Labor Party,ALP
177,Ryan,QLD,37370,Elizabeth,WATSON-BROWN,The Greens,GRN
232,Scullin,VIC,36447,Andrew,GILES,Australian Labor Party,ALP
148,Shortland,NSW,36806,Pat,CONROY,Australian Labor Party,ALP
307,Solomon,NT,37280,Luke,GOSLING,Australian Labor Party,ALP
325,Spence,SA,36990,Matt,BURNELL,Australian Labor Party,ALP
190,Sturt,SA,37067,James,STEVENS,Liberal,LP
247,Swan,WA,37333,Zaneta,MASCARENHAS,Australian Labor Party,ALP
149,Sydney,NSW,36805,Tanya,PLIBERSEK,Australian Labor Party,ALP
248,Tangney,WA,37337,Sam,LIM,Australian Labor Party,ALP
233,Wannon,VIC,36735,Dan,TEHAN,Liberal,LP
151,Warringah,NSW,32467,Zali,STEGGALL,Independent,IND
251,Watson,NSW,36809,Tony,BURKE,Australian Labor Party,ALP
152,Wentworth,NSW,37451,Allegra,SPENDER,Independent,IND
153,Werriwa,NSW,36810,Anne Maree,STANLEY,Australian Labor Party,ALP
150,Whitlam,NSW,36811,Stephen,JONES,Australian Labor Party,ALP
178,Wide Bay,QLD,37506,Llew,O'BRIEN,Liberal National Party of Queensland,LNP
234,Wills,VIC,36452,Peter,KHALIL,Australian Labor Party,ALP
316,Wright,QLD,37500,Scott,BUCHHOLZ,Liberal National Party of Queensland,LNP
