year,url,table,page,column_name,table_name, col
2000,https://www.cdc.gov/nchs/data/nvsr/nvsr50/nvsr50_05.pdf,10,40,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15-19 years by age of mother: United States, each State and territory", 4
2001,https://www.cdc.gov/nchs/data/nvsr/nvsr51/nvsr51_02.pdf,10,41,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15-19 years by age of mother: United States, each State and territory", 4
2002,https://www.cdc.gov/nchs/data/nvsr/nvsr52/nvsr52_10.pdf,10,46,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15-19 years by age of mother: United States, each State and territory", 4
2003,https://www.cdc.gov/nchs/data/nvsr/nvsr54/nvsr54_02.pdf,10,45,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15-19 years by age of mother: United States, each State and territory", 4
2004,https://www.cdc.gov/nchs/data/nvsr/nvsr55/nvsr55_01.pdf,11,52,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15–19 years, by age of mother: United States, each state and territory", 4
2005,https://www.cdc.gov/nchs/data/nvsr/nvsr56/nvsr56_06.pdf,11,52,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15–19 years, by age of mother: United States, each state and territory", 4
2006,https://www.cdc.gov/nchs/data/nvsr/nvsr57/nvsr57_07.pdf,11,49,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15–19 years, by age of mother: United States, each state and territory", 4
2007,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,11,41,Total fertility rate,"Number of births, birth rates, fertility rates, total fertility rates, and birth rates for teenagers 15–19 years, by age of mother: United States, each state and territory", 4
2008,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,12,43,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2008", 3
2009,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_01.pdf,12,43,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2009", 3
2010,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,12,42,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2010", 3
2011,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,12,40,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2011", 3
2012,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,12,38,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2012", 3
2013,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,12,37,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2013", 3
2014,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_12.pdf,12,38,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2014", 3
2015,https://www.cdc.gov/nchs/data/nvsr/nvsr66/nvsr66_01.pdf,12,42,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2015", 3
2016,https://www.cdc.gov/nchs/data/nvsr/nvsr67/nvsr67_01.pdf,8,29,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2016", 3
2016,https://www.cdc.gov/nchs/data/nvsr/nvsr67/nvsr67_01.pdf,8,30,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2016", 3
2017,https://www.cdc.gov/nchs/data/nvsr/nvsr67/nvsr67_08-508.pdf,12,23,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2017", 3
2017,https://www.cdc.gov/nchs/data/nvsr/nvsr67/nvsr67_08-508.pdf,12,24,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2017", 3
2018,https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_13-508.pdf,12,23,Total fertility rate,"Birth rates, by age of mother: United States, each state and territory, 2018", 3